2, "John Manager1", 1, 103908
4, "John Manager2", 2, 129320
6, "John Manager3", 3, 115330
8, "John Manager4", 4, 130389
10, "John Manager5", 5, 125472
12, "John Manager6", 6, 136956
14, "John Manager7", 7, 109873
16, "John Manager8", 8, 114749
18, "John Manager9", 9, 105048
20, "John Manager10", 10, 120175
22, "John Manager11", 11, 113779
24, "John Manager12", 12, 143326
26, "John Manager13", 13, 101104
28, "John Manager14", 14, 103315
30, "John Manager15", 15, 126210
32, "John Manager16", 16, 126703
34, "John Manager17", 17, 117372
36, "John Manager18", 18, 109721
38, "John Manager19", 19, 143534
40, "John Manager20", 20, 127045
42, "John Manager21", 21, 120347
44, "John Manager22", 22, 136132
46, "John Manager23", 23, 144952
48, "John Manager24", 24, 127593
50, "John Manager25", 25, 116521
52, "John Manager26", 26, 133541
54, "John Manager27", 27, 115931
56, "John Manager28", 28, 142573
58, "John Manager29", 29, 114406
60, "John Manager30", 30, 108857
62, "John Manager31", 31, 103218
64, "John Manager32", 32, 132158
66, "John Manager33", 33, 141181
68, "John Manager34", 34, 109191
70, "John Manager35", 35, 121389
72, "John Manager36", 36, 122710
74, "John Manager37", 37, 100120
76, "John Manager38", 38, 120581
78, "John Manager39", 39, 143184
80, "John Manager40", 40, 138684
82, "John Manager41", 41, 135797
84, "John Manager42", 42, 100451
86, "John Manager43", 43, 123184
88, "John Manager44", 44, 123724
90, "John Manager45", 45, 107295
92, "John Manager46", 46, 147512
94, "John Manager47", 47, 124896
96, "John Manager48", 48, 105451
98, "John Manager49", 49, 129644
100, "John Manager50", 50, 115426
102, "John Manager51", 51, 144985
104, "John Manager52", 52, 102180
106, "John Manager53", 53, 142891
108, "John Manager54", 54, 117962
110, "John Manager55", 55, 122829
112, "John Manager56", 56, 114434
114, "John Manager57", 57, 148830
116, "John Manager58", 58, 102151
118, "John Manager59", 59, 132403
120, "John Manager60", 60, 115929
122, "John Manager61", 61, 146045
124, "John Manager62", 62, 114774
126, "John Manager63", 63, 110655
128, "John Manager64", 64, 102197
130, "John Manager65", 65, 139341
132, "John Manager66", 66, 104925
134, "John Manager67", 67, 118291
136, "John Manager68", 68, 145811
138, "John Manager69", 69, 110139
140, "John Manager70", 70, 109669
142, "John Manager71", 71, 107702
144, "John Manager72", 72, 107987
146, "John Manager73", 73, 131556
148, "John Manager74", 74, 124982
150, "John Manager75", 75, 104201
152, "John Manager76", 76, 136086
154, "John Manager77", 77, 136607
156, "John Manager78", 78, 142384
158, "John Manager79", 79, 144999
160, "John Manager80", 80, 106760
162, "John Manager81", 81, 112687
164, "John Manager82", 82, 110843
166, "John Manager83", 83, 121572
168, "John Manager84", 84, 145900
170, "John Manager85", 85, 119210
172, "John Manager86", 86, 110383
174, "John Manager87", 87, 149442
176, "John Manager88", 88, 141425
178, "John Manager89", 89, 142913
180, "John Manager90", 90, 104474
182, "John Manager91", 91, 147055
184, "John Manager92", 92, 102867
186, "John Manager93", 93, 124044
188, "John Manager94", 94, 139438
190, "John Manager95", 95, 126107
192, "John Manager96", 96, 130745
194, "John Manager97", 97, 110588
196, "John Manager98", 98, 118063
198, "John Manager99", 99, 110939
200, "John Manager100", 100, 142215
202, "John Manager101", 101, 119705
204, "John Manager102", 102, 142040
206, "John Manager103", 103, 108280
208, "John Manager104", 104, 135063
210, "John Manager105", 105, 139451
212, "John Manager106", 106, 100246
214, "John Manager107", 107, 124898
216, "John Manager108", 108, 122548
218, "John Manager109", 109, 139489
220, "John Manager110", 110, 112544
222, "John Manager111", 111, 127829
224, "John Manager112", 112, 101716
226, "John Manager113", 113, 113282
228, "John Manager114", 114, 135993
230, "John Manager115", 115, 109600
232, "John Manager116", 116, 133986
234, "John Manager117", 117, 116538
236, "John Manager118", 118, 137018
238, "John Manager119", 119, 121963
240, "John Manager120", 120, 102558
242, "John Manager121", 121, 148328
244, "John Manager122", 122, 117579
246, "John Manager123", 123, 115019
248, "John Manager124", 124, 138876
250, "John Manager125", 125, 120070
252, "John Manager126", 126, 145567
254, "John Manager127", 127, 122968
256, "John Manager128", 128, 124305
258, "John Manager129", 129, 110803
260, "John Manager130", 130, 127542
262, "John Manager131", 131, 115621
264, "John Manager132", 132, 126688
266, "John Manager133", 133, 115774
268, "John Manager134", 134, 123557
270, "John Manager135", 135, 115122
272, "John Manager136", 136, 116709
274, "John Manager137", 137, 118507
276, "John Manager138", 138, 137360
278, "John Manager139", 139, 141739
280, "John Manager140", 140, 126970
282, "John Manager141", 141, 113078
284, "John Manager142", 142, 116587
286, "John Manager143", 143, 104133
288, "John Manager144", 144, 137941
290, "John Manager145", 145, 112389
292, "John Manager146", 146, 105798
294, "John Manager147", 147, 144480
296, "John Manager148", 148, 115328
298, "John Manager149", 149, 105157
300, "John Manager150", 150, 147253
302, "John Manager151", 151, 135747
304, "John Manager152", 152, 148892
306, "John Manager153", 153, 102864
308, "John Manager154", 154, 143900
310, "John Manager155", 155, 130636
312, "John Manager156", 156, 146631
314, "John Manager157", 157, 106903
316, "John Manager158", 158, 128709
318, "John Manager159", 159, 116355
320, "John Manager160", 160, 101177
322, "John Manager161", 161, 121880
324, "John Manager162", 162, 144325
326, "John Manager163", 163, 114859
328, "John Manager164", 164, 127276
330, "John Manager165", 165, 131984
332, "John Manager166", 166, 142583
334, "John Manager167", 167, 113002
336, "John Manager168", 168, 122248
338, "John Manager169", 169, 105339
340, "John Manager170", 170, 109780
342, "John Manager171", 171, 140640
344, "John Manager172", 172, 102330
346, "John Manager173", 173, 141016
348, "John Manager174", 174, 103846
350, "John Manager175", 175, 118575
352, "John Manager176", 176, 103699
354, "John Manager177", 177, 141189
356, "John Manager178", 178, 103601
358, "John Manager179", 179, 134086
360, "John Manager180", 180, 101976
362, "John Manager181", 181, 115222
364, "John Manager182", 182, 121059
366, "John Manager183", 183, 107503
368, "John Manager184", 184, 132182
370, "John Manager185", 185, 145149
372, "John Manager186", 186, 136469
374, "John Manager187", 187, 109875
376, "John Manager188", 188, 103897
378, "John Manager189", 189, 147269
380, "John Manager190", 190, 132588
382, "John Manager191", 191, 100968
384, "John Manager192", 192, 132034
386, "John Manager193", 193, 103862
388, "John Manager194", 194, 147678
390, "John Manager195", 195, 130075
392, "John Manager196", 196, 145124
394, "John Manager197", 197, 145178
396, "John Manager198", 198, 102896
398, "John Manager199", 199, 137881
400, "John Manager200", 200, 140004
402, "John Manager201", 201, 141489
404, "John Manager202", 202, 146473
406, "John Manager203", 203, 104039
408, "John Manager204", 204, 135698
410, "John Manager205", 205, 146648
412, "John Manager206", 206, 107489
414, "John Manager207", 207, 116413
416, "John Manager208", 208, 124689
418, "John Manager209", 209, 136091
420, "John Manager210", 210, 107959
422, "John Manager211", 211, 148396
424, "John Manager212", 212, 134861
426, "John Manager213", 213, 119075
428, "John Manager214", 214, 147455
430, "John Manager215", 215, 109042
432, "John Manager216", 216, 132323
434, "John Manager217", 217, 107419
436, "John Manager218", 218, 115312
438, "John Manager219", 219, 139894
440, "John Manager220", 220, 130236
442, "John Manager221", 221, 148606
444, "John Manager222", 222, 101978
446, "John Manager223", 223, 117938
448, "John Manager224", 224, 113545
450, "John Manager225", 225, 108913
452, "John Manager226", 226, 115298
454, "John Manager227", 227, 128744
456, "John Manager228", 228, 126298
458, "John Manager229", 229, 102381
460, "John Manager230", 230, 139449
462, "John Manager231", 231, 116804
464, "John Manager232", 232, 141677
466, "John Manager233", 233, 108320
468, "John Manager234", 234, 101230
470, "John Manager235", 235, 142235
472, "John Manager236", 236, 144338
474, "John Manager237", 237, 141239
476, "John Manager238", 238, 140652
478, "John Manager239", 239, 110512
480, "John Manager240", 240, 127086
482, "John Manager241", 241, 125061
484, "John Manager242", 242, 104794
486, "John Manager243", 243, 140999
488, "John Manager244", 244, 145183
490, "John Manager245", 245, 105362
492, "John Manager246", 246, 108666
494, "John Manager247", 247, 145663
496, "John Manager248", 248, 143982
498, "John Manager249", 249, 142123
500, "John Manager250", 250, 139965
502, "John Manager251", 251, 123103
504, "John Manager252", 252, 141876
506, "John Manager253", 253, 119846
508, "John Manager254", 254, 137763
510, "John Manager255", 255, 126836
512, "John Manager256", 256, 109670
514, "John Manager257", 257, 121208
516, "John Manager258", 258, 121264
518, "John Manager259", 259, 137850
520, "John Manager260", 260, 115499
522, "John Manager261", 261, 136622
524, "John Manager262", 262, 103056
526, "John Manager263", 263, 140571
528, "John Manager264", 264, 106608
530, "John Manager265", 265, 101896
532, "John Manager266", 266, 129619
534, "John Manager267", 267, 148046
536, "John Manager268", 268, 136304
538, "John Manager269", 269, 133255
540, "John Manager270", 270, 139721
542, "John Manager271", 271, 109187
544, "John Manager272", 272, 135113
546, "John Manager273", 273, 128396
548, "John Manager274", 274, 104539
550, "John Manager275", 275, 114478
552, "John Manager276", 276, 142533
554, "John Manager277", 277, 108332
556, "John Manager278", 278, 111120
558, "John Manager279", 279, 107629
560, "John Manager280", 280, 110412
562, "John Manager281", 281, 114614
564, "John Manager282", 282, 143139
566, "John Manager283", 283, 111193
568, "John Manager284", 284, 149112
570, "John Manager285", 285, 132818
572, "John Manager286", 286, 138012
574, "John Manager287", 287, 132247
576, "John Manager288", 288, 148522
578, "John Manager289", 289, 104188
580, "John Manager290", 290, 101044
582, "John Manager291", 291, 132025
584, "John Manager292", 292, 126597
586, "John Manager293", 293, 108250
588, "John Manager294", 294, 119661
590, "John Manager295", 295, 126930
592, "John Manager296", 296, 143970
594, "John Manager297", 297, 143369
596, "John Manager298", 298, 110029
598, "John Manager299", 299, 115289
600, "John Manager300", 300, 109287
602, "John Manager301", 301, 148176
604, "John Manager302", 302, 124487
606, "John Manager303", 303, 120734
608, "John Manager304", 304, 115032
610, "John Manager305", 305, 137642
612, "John Manager306", 306, 100618
614, "John Manager307", 307, 149749
616, "John Manager308", 308, 136795
618, "John Manager309", 309, 111018
620, "John Manager310", 310, 110004
622, "John Manager311", 311, 142731
624, "John Manager312", 312, 138620
626, "John Manager313", 313, 127421
628, "John Manager314", 314, 118546
630, "John Manager315", 315, 111772
632, "John Manager316", 316, 120409
634, "John Manager317", 317, 141546
636, "John Manager318", 318, 133003
638, "John Manager319", 319, 103761
640, "John Manager320", 320, 129322
642, "John Manager321", 321, 141509
644, "John Manager322", 322, 124519
646, "John Manager323", 323, 145424
648, "John Manager324", 324, 120103
650, "John Manager325", 325, 113661
652, "John Manager326", 326, 125170
654, "John Manager327", 327, 123507
656, "John Manager328", 328, 121253
658, "John Manager329", 329, 137613
660, "John Manager330", 330, 142891
662, "John Manager331", 331, 135973
664, "John Manager332", 332, 121103
666, "John Manager333", 333, 147205
668, "John Manager334", 334, 111452
670, "John Manager335", 335, 130276
672, "John Manager336", 336, 137793
674, "John Manager337", 337, 135431
676, "John Manager338", 338, 135850
678, "John Manager339", 339, 113072
680, "John Manager340", 340, 123752
682, "John Manager341", 341, 146520
684, "John Manager342", 342, 147758
686, "John Manager343", 343, 114407
688, "John Manager344", 344, 113706
690, "John Manager345", 345, 139265
692, "John Manager346", 346, 108124
694, "John Manager347", 347, 102585
696, "John Manager348", 348, 109675
698, "John Manager349", 349, 130186
700, "John Manager350", 350, 144789
702, "John Manager351", 351, 145342
704, "John Manager352", 352, 104599
706, "John Manager353", 353, 147344
708, "John Manager354", 354, 143716
710, "John Manager355", 355, 138171
712, "John Manager356", 356, 119956
714, "John Manager357", 357, 111871
